## 一次性添加到UnixWord
cozing: 惬意的
daisy: 菊花
cinnamon: 肉桂
badass: 混蛋
pussyfoot: 像猫一样轻轻的走;小心行事
moat: 护城河
asthma: 哮喘
pansexual: 范性别的
landmark: 地标
wakeup: 觉醒
mustard: 芥末
ketchup: 番茄酱
mint: 薄荷
oncology: 肿瘤学
oncologist: 肿瘤医师
paranoid: 偏执狂的
Jackpot: 头奖
chemotherapy: 化疗
shoplift: 入店行窃
hangover: 宿醉
C-section: 剖腹产
snail: 海螺
raisin: 葡萄干
firecracker: 鞭炮
chop-chop: 催促别人快点
cyanoacrylate: 氰基丙烯酸盐
bedbug: 床虱 
dickhead: 混蛋
nozzle: 喷嘴
origami: 折纸
depositon: 证言
warden: 监狱长
convict: 犯人
broke: 破产的
BFF: Best friend forever



## 比较难发音的
etc: #phon. [ei-te'sai-te-ruo],et cetera,等等,及其他
chaos: 混乱
roses: 玫瑰
downloading: 
uninvited guest: 不速之客
