Alabama: #pn.阿拉巴马州, Montgomery/蒙哥马利; Birmingham/伯明翰;
Alaska: #pn.阿拉斯加州, Juneau/朱诺;
Arizona: #pn.阿利桑纳州, Phoenix/菲尼克斯;
Arkansas: #pn.阿肯色州, Little Rock/小石城;
California: #pn.加利福尼亚州, Sacramento/萨克拉门托; Los Angeles/洛杉矶, San Diego/圣地亚哥, Berkeley/伯克利, San Francisco/旧金山, Hollywood/好莱坞;
Colorado: #pn.科罗拉多州, Denver/丹佛;
Connecticut: #pn.康涅狄格州, Hartford/哈特福德;
Delaware: #pn.特拉华州, Dover/多佛;
Florida: #pn.佛罗里达州, Tallahassee/塔拉哈西; Orlando/奥兰多;
Georgia: #pn.佐治亚州, Atlanta/亚特兰大;
Hawaii: #pn.夏威夷州, Honolulu/檀香山;
Idaho: #pn.爱达荷州, Boise/博伊西;
Illinois: #pn.伊利诺伊州, Springfield/斯普林菲尔德; Chicago/芝加哥;
Indiana: #pn.印第安纳州, Indianapolis/印第安纳波利斯;
Iowa: #pn.爱荷华州, Des/得梅因 Moines;
Kansas: #pn.堪萨斯州, Topeka/托皮卡;
Kentucky: #pn.肯塔基州, Frankfort/法兰克福;
Louisiana: #pn.路易斯安那州, Baton Rouge/巴吞鲁日; New Orleans/新奥尔良 ;
Maine: #pn.缅因州, Augusta/奥古斯塔;
Maryland: #pn.马里兰州, Annapolis/安那波利斯;
Massachusetts: #pn.马萨诸塞州, Boston/波士顿;
Michigan: #pn.密歇根州, Lansing/兰辛; Detroit/底特律;
Minnesota: #pn.明尼苏达州, St. Paul/圣保罗;
Mississippi: #pn.密西西比州, Jackson County/杰克逊县;
Missouri: #pn.密苏里州, Jefferson City/杰斐逊城; St Louis/圣路易斯, Columbia/哥伦比亚;
Montana: #pn.蒙大拿州, Helena/海伦那;
Nebraska: #pn.内布拉斯加州, Lincoln/林肯市;
Nevada: #pn.内华达州, Carson City/卡森城; Las Vgas/拉斯维加斯 ;
New Hampshire: #pn.新罕布什尔州, Concord/康科德;
New Jersey: #pn.新泽西州, Trenton/特伦顿;
New Mexico: #pn.新墨西哥州, Santa Fe/圣菲 ;
New York: #pn.纽约州, Albany/奥尔巴尼;
North Carolina: #pn.北卡罗来纳州, Raleigh/罗利;
North Dakota: #pn.北达科他州, Bismarck/俾斯麦;
Ohio: #pn.俄亥俄州, Columbus/哥伦布;
Oklahoma: #pn.俄克拉何马州, Oklahoma City/俄克拉何马城 ;
Oregon: #pn.俄勒冈州, Salem/塞勒姆;
Pennsylvania: #pn.宾夕法尼亚州, Harrisburg/哈里斯堡; Philadelphia/费城, Pittsburgh/匹兹堡;
Rhode Island: #pn.罗得岛州, Providence/普罗维登斯;
South Carolina: #pn.南卡罗来纳州, Columbia/哥伦比亚;
South Dakota: #pn.南达科他州, Pierre/皮尔;
Tennessee: #pn.田纳西州, Nashville/纳什维尔;
Texas: #pn.得克萨斯州, Austin/奥斯汀; Houston/休斯顿;
Utah: #pn.犹他州, Salt Lake City/盐湖城 ;
Vermont: #pn.佛蒙特州, Montpelier/蒙彼利埃;
Virginia: #pn.弗吉尼亚州, Richmond/里士满;
Washington: #pn.华盛顿州, Olympia/奥林匹亚; Seattle/西雅图;
West Virginia: #pn.西弗吉尼亚州, Charleston/查尔斯顿;
Wisconsin: #pn.威斯康星州, Madison/麦迪逊;
Wyoming: #pn.怀俄明州, Cheyenne/夏延;
