# 1. Signposting and focusing in lectures/lessons
I was going to / we are going to :   [st]Signposting and focusing in lectures/lessons; [or]spoken_oxf;
I would like to :  [st]Signposting and focusing in lectures/lessons; [or]spoken_oxf;
I want to talk about / look at / say :  [st]Signposting and focusing in lectures/lessons; [or]spoken_oxf;
what I want to do :  [st]Signposting and focusing in lectures/lessons; [or]spoken_oxf;
I (just) want to :  [st]Signposting and focusing in lectures/lessons; [or]spoken_oxf;
just going to :  [st]Signposting and focusing in lectures/lessons; [or]spoken_oxf;
going to talk about :  [st]Signposting and focusing in lectures/lessons; [or]spoken_oxf;
going to be talking about :  [st]Signposting and focusing in lectures/lessons; [or]spoken_oxf;
going to look at :  [st]Signposting and focusing in lectures/lessons; [or]spoken_oxf;
going to show you :  [st]Signposting and focusing in lectures/lessons; [or]spoken_oxf;
going to go through :  [st]Signposting and focusing in lectures/lessons; [or]spoken_oxf;
going to go into :  [st]Signposting and focusing in lectures/lessons; [or]spoken_oxf;
going to say :  [st]Signposting and focusing in lectures/lessons; [or]spoken_oxf;
I was talking about :  [st]Signposting and focusing in lectures/lessons; [or]spoken_oxf;
we were talking about :  [st]Signposting and focusing in lectures/lessons; [or]spoken_oxf;
been talking about :  [st]Signposting and focusing in lectures/lessons; [or]spoken_oxf;
we talked about :  [st]Signposting and focusing in lectures/lessons; [or]spoken_oxf;
we looked at :  [st]Signposting and focusing in lectures/lessons; [or]spoken_oxf;
we talk about :  [st]Signposting and focusing in lectures/lessons; [or]spoken_oxf;
you can look at :  [st]Signposting and focusing in lectures/lessons; [or]spoken_oxf;
be looking at :  [st]Signposting and focusing in lectures/lessons; [or]spoken_oxf;
to deal with :  [st]Signposting and focusing in lectures/lessons; [or]spoken_oxf;
interested in :  [st]Signposting and focusing in lectures/lessons; [or]spoken_oxf;
if you/we look at :  [st]Signposting and focusing in lectures/lessons; [or]spoken_oxf;
if you think about (it) :  [st]Signposting and focusing in lectures/lessons; [or]spoken_oxf;
when we/you look at :  [st]Signposting and focusing in lectures/lessons; [or]spoken_oxf;
(and) you can see that :  [st]Signposting and focusing in lectures/lessons; [or]spoken_oxf;
