# 1. Specifying topics and relations between ideas 
in terms of: [sit]Specifying topics and relations between ideas; [or]written_oxf;
in relation to: [sit]Specifying topics and relations between ideas; [or]written_oxf;
in/within the context of: [sit]Specifying topics and relations between ideas; [or]written_oxf;
with respect to: [sit]Specifying topics and relations between ideas; [or]written_oxf;
with regard to: [sit]Specifying topics and relations between ideas; [or]written_oxf;
related to: [sit]Specifying topics and relations between ideas; [or]written_oxf;
relating to: [sit]Specifying topics and relations between ideas; [or]written_oxf;
the relationship between: [sit]Specifying topics and relations between ideas; [or]written_oxf;
as to: [sit]Specifying topics and relations between ideas; [or]written_oxf;
concerned with: [sit]Specifying topics and relations between ideas; [or]written_oxf;
linked to: [sit]Specifying topics and relations between ideas; [or]written_oxf;
relevant to: [sit]Specifying topics and relations between ideas; [or]written_oxf;
in accordance with: [sit]Specifying topics and relations between ideas; [or]written_oxf;
in respect of: [sit]Specifying topics and relations between ideas; [or]written_oxf;
from the point of view of: [sit]Specifying topics and relations between ideas; [or]written_oxf;
from the perspective of: [sit]Specifying topics and relations between ideas; [or]written_oxf;
focus on: [sit]Specifying topics and relations between ideas; [or]written_oxf;
in particular: [sit]Specifying topics and relations between ideas; [or]written_oxf;
in question: [sit]Specifying topics and relations between ideas; [or]written_oxf;
as part of: [sit]Specifying topics and relations between ideas; [or]written_oxf;
the question of (whether or not): [sit]Specifying topics and relations between ideas; [or]written_oxf;
the concept of: [sit]Specifying topics and relations between ideas; [or]written_oxf;
the idea of: [sit]Specifying topics and relations between ideas; [or]written_oxf;
the notion of: [sit]Specifying topics and relations between ideas; [or]written_oxf;
the problem of: [sit]Specifying topics and relations between ideas; [or]written_oxf;
the issue of: [sit]Specifying topics and relations between ideas; [or]written_oxf;
the idea that: [sit]Specifying topics and relations between ideas; [or]written_oxf;
in the field of: [sit]Specifying topics and relations between ideas; [or]written_oxf;
in the area of: [sit]Specifying topics and relations between ideas; [or]written_oxf;
in the study of: [sit]Specifying topics and relations between ideas; [or]written_oxf;
our understanding of: [sit]Specifying topics and relations between ideas; [or]written_oxf;
