#1
add,plus: 加; [st]基础; [or]math;
subtract: 减; [st]基础; [or]math;
difference: 差; [st]基础; [or]math;
multiply times: 乘; [st]基础; [or]math;
product: 积; [st]基础; [or]math;
divide: 除; [st]基础; [or]math;
divisible: 可被整除的; [st]基础; [or]math;
divided evenly: 被整除; [st]基础; [or]math;
dividend: 被除数; [st]基础; [or]math;
divisor: 因子,除数; [st]基础; [or]math;
quotient: 商; [st]基础; [or]math;
remainder: 余数; [st]基础; [or]math;
factorial: 阶乘; [st]基础; [or]math;
power: 乘方; [st]基础; [or]math;
radical sign, root sign: 根号; [st]基础; [or]math;
round to: 四舍五入; [st]基础; [or]math;
to the nearest: 四舍五入; [st]基础; [or]math;
#2.有关集合
union: 并集; [st]集合; [or]math;
proper subset: 真子集; [st]集合; [or]math;
solution set: 解集; [st]集合; [or]math;
#3.有关代数式,方程和不等式
algebraic term: 代数项; [st]代数式,方程和不等式; [or]math;
like terms, similar terms: 同类项; [st]代数式,方程和不等式; [or]math;
numerical coefficient: 数字系数; [st]代数式,方程和不等式; [or]math;
literal coefficient: 字母系数; [st]代数式,方程和不等式; [or]math;
inequality: 不等式; [st]代数式,方程和不等式; [or]math;
triangle inequality: 三角不等式; [st]代数式,方程和不等式; [or]math;
range: 值域; [st]代数式,方程和不等式; [or]math;
original equation: 原方程; [st]代数式,方程和不等式; [or]math;
equivalent equation 同解方程: 等价方程; [st]代数式,方程和不等式; [or]math;
linear equation: 线性方程(e.g.5x+6=22); [st]代数式,方程和不等式; [or]math;
#4.有关分数和小数
proper fraction: 真分数; [st]分数和小数; [or]math;
improper fraction: 假分数; [st]分数和小数; [or]math;
mixed number: 带分数; [st]分数和小数; [or]math;
vulgar fraction,common fraction: 普通分数; [st]分数和小数; [or]math;
simple fraction: 简分数; [st]分数和小数; [or]math;
complex fraction: 繁分数; [st]分数和小数; [or]math;
numerator: 分子; [st]分数和小数; [or]math;
denominator: 分母; [st]分数和小数; [or]math;
(least)common denominator: (最小)公分母; [st]分数和小数;
quarter: 四分之一; [st]分数和小数; [or]math;
decimal fraction: 纯小数; [st]分数和小数; [or]math;
infinite decimal: 无穷小数; [st]分数和小数; [or]math;
recurring decimal: 循环小数; [st]分数和小数; [or]math;
tenths unit: 十分位; [st]分数和小数; [or]math;
#5.基本数学概念
arithmetic mean: 算术平均值; [st]数学概念; [or]math;
weighted average: 加权平均值; [st]数学概念; [or]math;
geometric mean: 几何平均数; [st]数学概念; [or]math;
exponent: 指数,幂; [st]数学概念; [or]math;
base: 乘幂的底数,底边; [st]数学概念; [or]math;
cube: 立方数,立方体; [st]数学概念; [or]math;
square root: 平方根; [st]数学概念; [or]math;
cube root: 立方根; [st]数学概念; [or]math;
common logarithm: 常用对数; [st]数学概念; [or]math;
digit: 数字; [st]数学概念; [or]math;
constant: 常数; [st]数学概念; [or]math;
variable: 变量; [st]数学概念; [or]math;
inverse function: 反函数; [st]数学概念; [or]math;
complementary function: 余函数; [st]数学概念; [or]math;
linear: 一次的,线性的; [st]数学概念; [or]math;
factorization: 因式分解; [st]数学概念; [or]math;
absolute value: 绝对值; [st]数学概念; [or]math;
round off: 四舍五入; [st]数学概念; [or]math;
6.有关数论 [or]math;
natural number: 自然数; [st]数论; [or]math;
positive number: 正数; [st]数论; [or]math;
negative number: 负数; [st]数论; [or]math;
odd integer: 奇整数,; [st]数论; [or]math;
odd number: 奇数; [st]数论; [or]math;
even integer, even number: 偶数; [st]数论; [or]math;
integer, whole number: 整数; [st]数论; [or]math;
positive whole number: 正整数; [st]数论; [or]math;
negative whole number: 负整数; [st]数论; [or]math;
consecutive number: 连续整数; [st]数论; [or]math;
real number, rational number: 实数,有理数; [st]数论; [or]math;
irrational(number): 无理数; [st]数论; [or]math;
inverse: 倒数; [st]数论; [or]math;
composite number 合数: e.g.4,6,8,9,10,12,14,15..; [st]数论; [or]math;
reciprocal: 倒数; [st]数论; [or]math;
common divisor: 公约数; [st]数论; [or]math;
multiple: 倍数; [st]数论; [or]math;
(least)common multiple: (最小)公倍数; [st]数论;
(prime)factor: (质)因子; [st]数论;
common factor: 公因子; [st]数论; [or]math;
prime number  质数 : e.g.2,3,5,7,11,13,15..; [st]数论; [or]math;
ordinary scale, decimal scale: 十进制; [st]数论; [or]math;
nonnegative: 非负的; [st]数论; [or]math;
tens: 十位; [st]数论; [or]math;
units: 个位; [st]数论; [or]math;
mode: 众数; [st]数论; [or]math;
median: 中数; [st]数论; [or]math;
common ratio: 公比; [st]数论; [or]math;
#7.数列
arithmetic progression(sequence: )等差数列; [st]数列; [or]math;
geometric progression(sequence): 等比数列; [st]数列; [or]math;
#8.其它
approximate: 近似; [st]其它; [or]math;
(anti)clockwise (逆)顺时针方向; [st]其它;
cardinal: 基数; [st]其它; [or]math;
ordinal: 序数; [st]其它; [or]math;
direct proportion: 正比; [st]其它; [or]math;
distinct: 不同的; [st]其它; [or]math;
estimation: 估计,近似; [st]其它; [or]math;
parentheses: 括号; [st]其它; [or]math;
proportion: 比例; [st]其它; [or]math;
permutation: 排列; [st]其它; [or]math;
combination: 组合; [st]其它; [or]math;
table: 表格; [st]其它; [or]math;
trigonometric function: 三角函数; [st]其它; [or]math;
unit: 单位,位; [st]其它; [or]math;
#1.所有的角
alternate angle: 内错角; [st]角; [or]math;
corresponding angle: 同位角; [st]角; [or]math;
vertical angle: 对顶角; [st]角; [or]math;
central angle: 圆心角; [st]角; [or]math;
interior angle: 内角; [st]角; [or]math;
exterior angle: 外角; [st]角; [or]math;
supplementary angles: 补角; [st]角; [or]math;
complementary angle: 余角; [st]角; [or]math;
adjacent angle: 邻角; [st]角; [or]math;
acute angle: 锐角; [st]角; [or]math;
obtuse angle: 钝角; [st]角; [or]math;
right angle: 直角; [st]角; [or]math;
round angle: 周角; [st]角; [or]math;
straight angle: 平角; [st]角; [or]math;
included angle: 夹角; [st]角; [or]math;
#2.所有的三角形
equilateral triangle: 等边三角形; [st]三角形; [or]math;
scalene triangle: 不等边三角形; [st]三角形; [or]math;
isosceles triangle: 等腰三角形; [st]三角形; [or]math;
right triangle: 直角三角形; [st]三角形; [or]math;
oblique: 斜三角形; [st]三角形; [or]math;
